Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,Founded,Market Cap
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",4/3/57,1902,81.81B
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",26/7/17,1916,7.89B
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",4/3/57,1888,155.32B
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",31/12/12,2013 (1888),397.44B
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",6/7/11,1989,104.68B
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/97,1982,94.33B
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",20/3/17,1969,737.68B
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",2/10/98,1981,10.43B
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",28/5/99,1955,59.61B
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",5/6/00,1999,37.17B
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",30/4/85,1940,61.57B
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",18/9/23,2008,76.62B
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/7/07,1998,18.90B
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",1/7/16,1994,17.36B
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",20/3/17,1994,9.12B
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",19/6/17,1997,12.21B
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2/12/13,1908,11.12B
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",1/7/16,1917,18.85B
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",13/7/95,1931,57.49B
GOOGL,Alphabet Inc.(Class A),Communication Services,Interactive Media & Services,"Mountain View, California",3/4/06,1998,4.35T
GOOG,Alphabet Inc.(Class C),Communication Services,Interactive Media & Services,"Mountain View, California",3/4/14,1998,4.43T
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",4/3/57,1985,122.12B
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",18/11/05,1994,2.56T
