Symbol;Market Cap;;Price;% Chg;Sector;Industry;Company Name;Adress;Date added
A;36400.00;0.05%;128.88;-0.51%;Health Care;Life Sciences Tools & Services;Agilent Technologies, Inc.;Santa Clara, California;5/6/00
AAPL;4286460.00;6.23%;291.57;-1.37%;Information Technology;Technology Hardware, Storage & Peripherals;Apple Inc.;Cupertino, California;30/11/82
ABBV;397630.00;0.58%;225.06;0.13%;Health Care;Biotechnology;AbbVie Inc.;North Chicago, Illinois;31/12/12
ABNB;79189.00;0.12%;131.29;0.32%;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Airbnb, Inc.;San Francisco, California;18/9/23
ABT;153116.00;0.22%;87.91;-1.95%;Health Care;Health Care Equipment;Abbott Laboratories;North Chicago, Illinois;4/3/57
ACGL;31972.00;0.05%;91.58;0.49%;Financials;Property & Casualty Insurance;Arch Capital Group Ltd.;Hamilton, Bermuda;1/11/22
ACN;113679.00;0.17%;170.83;1.98%;Information Technology;IT Consulting & Other Services;Accenture PLC;Dublin, Ireland;6/7/11
ADBE;82150.00;0.12%;203.05;-7.20%;Information Technology;Application Software;Adobe Inc.;San Jose, California;5/5/97
ADI;203891.00;0.30%;418.00;1.43%;Information Technology;Semiconductors;Analog Devices, Inc.;Wilmington, Massachusetts;12/10/99
ADM;38361.00;0.06%;79.59;0.88%;Consumer Staples;Agricultural Products & Services;Archer Daniels Midland Company;Chicago, Illinois;4/3/57
ADP;90531.00;0.13%;226.24;0.21%;Industrials;Human Resource & Employment Services;Automatic Data Processing, Inc.;Roseland, New Jersey;31/3/81
ADSK;41978.00;0.06%;199.10;-3.15%;Information Technology;Application Software;Autodesk, Inc.;San Francisco, California;1/12/89
AEE;30118.00;0.04%;108.83;0.53%;Utilities;Multi-Utilities;Ameren Corporation;St. Louis, Missouri;19/9/91
AEP;70008.00;0.10%;128.65;0.13%;Utilities;Electric Utilities;American Electric Power Company, Inc.;Columbus, Ohio;4/3/57
AES;10473.00;0.02%;14.69;0.10%;Utilities;Independent Power Producers & Energy Traders;The AES Corporation;Arlington, Virginia;2/10/98
AFL;60197.00;0.09%;118.27;1.56%;Financials;Life & Health Insurance;Aflac Incorporated;Columbus, Georgia;28/5/99
AIG;40191.00;0.06%;75.80;0.64%;Financials;Multi-line Insurance;American International Group, Inc.;New York City, New York;31/3/80
AIZ;12888.00;0.02%;260.11;0.62%;Financials;Multi-line Insurance;Assurant, Inc.;Atlanta, Georgia;10/4/07
AJG;56455.00;0.08%;219.76;-0.52%;Financials;Insurance Brokers;Arthur J. Gallagher & Co.;Rolling Meadows, Illinois;31/5/16
AKAM;19120.00;0.03%;131.31;-0.87%;Information Technology;Internet Services & Infrastructure;Akamai Technologies, Inc.;Cambridge, Massachusetts;12/7/07
ALB;20195.00;0.03%;171.25;7.66%;Materials;Specialty Chemicals;Albemarle Corporation;Charlotte, North Carolina;1/7/16
ALGN;12509.00;0.02%;174.63;-1.07%;Health Care;Health Care Supplies;Align Technology, Inc.;Tempe, Arizona;19/6/17
ALL;57046.00;0.08%;221.61;0.93%;Financials;Property & Casualty Insurance;The Allstate Corporation;Northbrook, Illinois;13/7/95
ALLE;11549.00;0.02%;134.39;0.50%;Industrials;Building Products;Allegion PLC;Dublin, Ireland;2/12/13
AMAT;445473.00;0.65%;559.64;1.27%;Information Technology;Semiconductor Materials & Equipment;Applied Materials, Inc.;Santa Clara, California;16/3/95
AMCR;18753.00;0.03%;40.56;1.60%;Materials;Paper & Plastic Packaging Products & Materials;Amcor PLC;Warmley, Bristol, United Kingdom;7/6/19
AMD;832457.00;1.21%;508.59;4.12%;Information Technology;Semiconductors;Advanced Micro Devices, Inc.;Santa Clara, California;20/3/17
AME;51876.00;0.08%;226.34;0.06%;Industrials;Electrical Components & Equipment;AMETEK, Inc.;Berwyn, Pennsylvania;23/9/13
AMGN;191469.00;0.28%;354.59;0.15%;Health Care;Biotechnology;Amgen Inc.;Thousand Oaks, California;2/1/92
